2015-07-17 6:50:54 - DEBUG --> Lista Credit Memo da processare: c_id14 , o_id234 
2015-07-17 6:55:03 - DEBUG --> Lista Credit Memo da processare: c_id14 , o_id234 
2015-07-17 6:59:07 - DEBUG --> Lista Credit Memo da processare: c_id14 , o_id234 
2015-07-17 7:00:34 - DEBUG --> Lista Credit Memo da processare: c_id14 , o_id234 
2015-07-17 7:07:52 - DEBUG --> Lista Credit Memo da processare: c_id14 , o_id234 
2015-07-17 7:14:41 - DEBUG --> Lista Credit Memo da processare: c_id14 , o_id234 
2015-07-17 7:18:17 - DEBUG --> Lista Credit Memo da processare: c_id14 , o_id234 
2015-07-17 7:18:47 - DEBUG --> Lista Credit Memo da processare: c_id14 , o_id234 
2015-07-17 7:22:16 - DEBUG --> Lista Credit Memo da processare: c_id14 , o_id234 
2015-07-17 7:33:01 - DEBUG --> Lista Credit Memo da processare: c_id14 , o_id234 
2015-07-17 7:34:20 - DEBUG --> Lista Credit Memo da processare: c_id14 , o_id234 
2015-07-17 7:36:35 - DEBUG --> Lista Credit Memo da processare: c_id14 , o_id234 
2015-07-17 7:37:21 - DEBUG --> Lista Credit Memo da processare: c_id14 , o_id234 
